Salary Range,Total Respondents
$0-999,1095
"1,000-1,999",439
"2,000-2,999",269
"3,000-3,999",242
"4,000-4,999",231
"5,000-7,499",389
"7,500-9,999",361
"10,000-14,999",487
"15,000-19,999",297
"20,000-24,999",336
"25,000-29,999",274
"30,000-39,999",459
"40,000-49,999",413
"50,000-59,999",360
"60,000-69,999",317
"70,000-79,999",288
"80,000-89,999",219
"90,000-99,999",193
"100,000-124,999",399
"125,000-149,999",265
"150,000-199,999",333
"200,000-249,999",153
"250,000-299,999",77
"300,000-499,999",73
"$500,000-999,999",48
">$1,000,000",22
